Acer299,Lun299,Sol299
416,435,316
416.2979324,433.4440229,316.1447749
416.5953848,431.8901653,316.2893879
416.8918772,430.3405468,316.4336773
417.1869296,428.7972871,316.5774814
417.480062,427.2625056,316.7206382
417.7707944,425.7383218,316.8629859
418.0586469,424.2268555,317.0043629
418.3431393,422.7302261,317.1446072
418.6237918,421.2505532,317.283557
418.9001243,419.7899563,317.4210506
419.1716568,418.3505551,317.5569261
419.4379094,416.934469,317.6910218
419.6984019,415.5438177,317.8231758
419.9526545,414.1807207,317.9532263
420.2001872,412.8472976,318.0810116
420.4405199,411.5456678,318.2063698
420.6731726,410.2779511,318.329139
420.8976653,409.0462669,318.4491576
421.1135181,407.8527349,318.5662637
421.320251,406.6994745,318.6802954
421.5173838,405.5886053,318.7910911
421.7044368,404.5222469,318.8984888
421.8809298,403.5025189,319.0023268
422.0463828,402.5315409,319.1024432
422.2003159,401.6114323,319.1986764
422.3422491,400.7443127,319.2908643
422.4717023,399.9323018,319.3788454
422.5881956,399.177519,319.4624576
422.6912489,398.4820839,319.5415393
422.7803824,397.8481162,319.6159287
422.8551158,397.2777353,319.6854638
422.9149694,396.7730608,319.749983
422.9594631,396.3362123,319.8093244
422.9881168,395.9693093,319.8633262
423.0004506,395.6744715,319.9118267
422.9959845,395.4538183,319.9546639
422.9742384,395.3094693,319.9916761
422.9347325,395.2435441,320.0228269
422.8769866,395.2581623,320.0491712
422.8005209,395.3554433,320.0723262
422.7048552,395.5375069,320.0939133
422.5895096,395.8064725,320.1155542
422.4540041,396.1643827,320.1388706
422.2978588,396.6107,320.1654839
422.1205935,397.1417756,320.1970159
421.9217283,397.7537776,320.2350882
421.7007833,398.4428738,320.2813224
421.4572784,399.2052322,320.3373401
421.1907335,400.0370207,320.4047629
420.9006796,400.9344072,320.4852124
420.587297,401.8935597,320.5803103
420.2517726,402.9106461,320.6916781
419.8953801,403.9818344,320.8209375
419.5193931,405.1032924,320.9697102
419.1250852,406.271188,321.1396176
418.71373,407.4816893,321.3322815
418.2866011,408.7309642,321.5493234
417.8449722,410.0151805,321.792365
417.3901167,411.3305062,322.0630279
416.9233085,412.6731093,322.3629337
416.445821,414.0391576,322.6937041
415.9589278,415.4248191,323.0569605
415.4639027,416.8262617,323.4543248
414.9620191,418.2396535,323.8874183
414.4545507,419.6611621,324.3578629
413.9427711,421.0869558,324.8672801
413.427954,422.5132022,325.4172915
412.9113729,423.9360694,326.0095188
412.3943014,425.3517254,326.6455835
411.8780132,426.756338,327.3271073
411.3637819,428.1460751,328.0557118
410.852881,429.5171047,328.8330186
410.3465842,430.8655948,329.6606493
409.8461651,432.1877132,330.5402255
409.3528973,433.4796279,331.4732546
408.8680544,434.7375069,332.4586037
408.3929101,435.9575179,333.4925005
407.9287379,437.1358291,334.5710579
407.4768114,438.2686082,335.6903892
407.0384043,439.3520233,336.8466074
406.6147902,440.3822423,338.0358256
406.2072426,441.355433,339.254157
405.8170352,442.2677635,340.4977145
405.4454417,443.1154016,341.7626114
405.0937355,443.8945153,343.0449606
404.7631904,444.6018863,344.3408754
404.4550799,445.2380794,345.6464687
404.1706776,445.8051019,346.9578538
403.9112572,446.304964,348.2711437
403.6780922,446.739676,349.5824515
403.4724564,447.1112482,350.8878902
403.2956232,447.4216907,352.1835731
403.1488663,447.6730138,353.4656132
403.0334593,447.8672278,354.7301236
402.9506758,448.0063429,355.9732173
402.9017894,448.0923693,357.1910076
402.8880738,448.1273174,358.3796075
402.9108025,448.1131973,359.53513
402.9712492,448.0520193,360.6536883
403.070595,447.9457936,361.7313956
403.2089462,447.7965305,362.7643648
403.3857158,447.6062403,363.7487091
403.600305,447.3769331,364.6805416
403.8521153,447.1106192,365.5559754
404.1405478,446.8093089,366.3711235
404.4650041,446.4750124,367.1220992
404.8248854,446.10974,367.8050154
405.219593,445.7155019,368.4159853
405.6485283,445.2943083,368.951122
406.1110927,444.8481695,369.4065386
406.6066874,444.3790958,369.7783482
407.1347139,443.8890973,370.0626852
407.6945733,443.3801844,370.2582976
408.2856672,442.8543672,370.3690098
408.9073967,442.3136561,370.3992288
409.5591634,441.7600612,370.3533619
410.2403684,441.1955928,370.235816
410.9504131,440.6222613,370.0509984
411.6886989,440.0420767,369.803316
412.4546271,439.4570493,369.4971761
413.247599,438.8691895,369.1369857
414.0670161,438.2805074,368.7271518
414.9122795,437.6930133,368.2720818
415.7827907,437.1087174,367.7761825
416.6779509,436.52963,367.2438612
417.5971616,435.9577613,366.6795249
418.5398241,435.3951216,366.0875807
419.5053396,434.8437126,365.4724358
420.4931096,434.3047995,364.8384972
421.5025353,433.7783493,364.1901721
422.5330182,433.2641971,363.5318675
423.5839595,432.7621777,362.8679906
424.6547606,432.2721263,362.2029485
425.7448228,431.7938778,361.5411483
426.8535475,431.3272671,360.886997
427.980336,430.8721293,360.2449018
429.1245896,430.4282993,359.6192698
430.2857097,429.9956121,359.014508
431.4630976,429.5739028,358.4350237
432.6561546,429.1630062,357.8852239
433.8642821,428.7627575,357.3695156
435.0868814,428.3729915,356.8923061
436.3233539,427.9935432,356.4580024
437.5731009,427.6242477,356.0710116
438.8355237,427.2649399,355.7357408
440.1100237,426.9154548,355.4565972
441.3960022,426.5756275,355.2379877
442.6928605,426.2452928,355.0843197
444,425.9242857,355
445.3165699,425.6124413,354.9881869
446.6407112,425.3095946,355.0470676
447.9703127,425.0155804,355.1735803
449.3032631,424.7302339,355.3646633
450.6374514,424.45339,355.6172547
451.9707663,424.1848836,355.9282927
453.3010967,423.9245498,356.2947157
454.6263313,423.6722236,356.7134618
455.9443592,423.4277399,357.1814693
457.2530689,423.1909337,357.6956763
458.5503495,422.96164,358.2530212
459.8340897,422.7396938,358.8504421
461.1021783,422.5249301,359.4848773
462.3525041,422.3171838,360.153265
463.5829561,422.11629,360.8525434
464.791423,421.9220836,361.5796508
465.9757936,421.7343996,362.3315254
467.1339567,421.5530731,363.1051053
468.2638013,421.3779389,363.897329
469.3632161,421.2088321,364.7051344
470.43009,421.0455876,365.52546
471.4623117,420.8881044,366.3552439
472.4577701,420.7369216,367.1914243
473.4143541,420.5929405,368.0309396
474.3299524,420.4570662,368.8707278
475.2024538,420.3302038,369.7077272
476.0297473,420.2132583,370.5388761
476.8097217,420.1071349,371.3611127
477.5402657,420.0127385,372.1713752
478.2192681,419.9309743,372.9666019
478.8446179,419.8627473,373.7437309
479.4142039,419.8089625,374.4997005
479.9259148,419.7705251,375.2314489
480.3776395,419.7483401,375.9359144
480.7672668,419.7433127,376.6100352
481.0926856,419.7563477,377.2507495
481.3517846,419.7883504,377.8549955
481.5424528,419.8402257,378.4200101
481.6625788,419.9128788,378.945657
481.7100517,420.0072148,379.433149
481.6827601,420.1241386,379.8837093
481.5785929,420.2645553,380.2985611
481.3954389,420.4293701,380.6789275
481.1311871,420.619488,381.0260319
480.7837261,420.835814,381.3410973
480.3509448,421.0792533,381.625347
479.830732,421.3507108,381.8800041
479.2209766,421.6510917,382.1062919
478.5195675,421.9813011,382.3054336
477.7244277,422.3422439,382.4786523
476.8355441,422.7348253,382.6271712
475.856102,423.1599503,382.7522136
474.7895619,423.618524,382.8550026
473.6393841,424.1114515,382.9367614
472.4090291,424.6396378,382.9987132
471.1019574,425.203988,383.0420812
469.7216294,425.8054071,383.0680886
468.2715056,426.4448003,383.0779586
466.7550463,427.1230726,383.0729144
465.175712,427.8411291,383.0541792
463.5369632,428.5998748,383.0229761
461.8422603,429.4002148,382.9805285
460.0950637,430.2430542,382.9280593
458.2988339,431.1292971,382.866792
456.4570313,432.0590242,382.7979495
454.5731164,433.030138,382.7227552
452.6505496,434.0401942,382.6424323
450.6927914,435.0867485,382.5582039
448.7033021,436.1673566,382.4712931
446.6855423,437.2795742,382.3829234
444.6429723,438.420957,382.2943177
442.5790526,439.5890607,382.2066993
440.4972437,440.781441,382.1212914
438.401006,441.9956536,382.0393172
436.2937999,443.2292542,381.9619793
434.1790858,444.4797984,381.8900767
432.0603243,445.7448421,381.8240044
429.9409758,447.0219407,381.7641371
427.8245006,448.3086502,381.7108494
425.7143593,449.6025261,381.6645159
423.6140122,450.9011242,381.6255112
421.5269199,452.2020001,381.5942099
419.4565427,453.5027095,381.5709866
417.4063411,454.8008083,381.5562159
415.3797755,456.0938519,381.5502725
413.3803064,457.3793962,381.5535309
411.4113943,458.6549968,381.5663657
409.4764995,459.9182094,381.5891516
407.5790825,461.1665898,381.6222631
405.7226037,462.3976936,381.6660748
403.9105237,463.6090765,381.7209614
402.1463027,464.7982942,381.7872974
400.4334013,465.9629024,381.8654575
398.77528,467.1004568,381.9558163
397.175399,468.2085131,382.0587483
395.637219,469.284627,382.1746282
394.1642002,470.3263542,382.3038306
392.7598033,471.3312504,382.4467301
391.4274885,472.2968712,382.6037012
390.1704693,473.2207724,382.7751186
388.9890858,474.1005097,382.9613569
387.8818248,474.9336388,383.1627908
386.8471419,475.7177153,383.3797947
385.8834931,476.450295,383.6127433
384.9893341,477.1289336,383.8620112
384.1631206,477.7511867,384.1279731
383.4033084,478.3147298,384.4110035
382.7083534,478.8192498,384.711477
382.0767113,479.2661028,385.0297682
381.5068379,479.6566952,385.3662517
380.997189,479.9924335,385.7213022
380.5462203,480.2747243,386.0952919
380.1523877,480.5049741,386.4883125
379.8141469,480.6845894,386.8999106
379.5299537,480.8149767,387.32957
379.2982639,480.8975425,387.7767748
379.1175333,480.9336934,388.2410089
378.9862176,480.9248358,388.7217563
378.9027727,480.8723762,389.218501
378.8656543,480.7777213,389.7307268
378.8733182,480.6422774,390.2579178
378.9242202,480.4674512,390.799558
379.016816,480.254649,391.3551312
379.1495615,480.0052775,391.9241215
379.3209124,479.7207432,392.5060127
379.5293246,479.4024525,393.100289
379.7732537,479.051812,393.7064341
380.0511557,478.6702282,394.3239322
380.3614862,478.2591076,394.9522671
380.702701,477.8198567,395.5909227
381.073256,477.353882,396.2393832
381.4716069,476.8625901,396.8971324
381.8962095,476.3473874,397.5636542
382.3455195,475.8096806,398.2384327
382.8179929,475.250876,398.9209518
383.3120852,474.6723802,399.6106955
383.8262524,474.0755997,400.3071477
384.3589502,473.4619411,401.0097923
384.9086344,472.8328108,401.7181135
385.4737608,472.1896154,402.431595
386.0527851,471.5337613,403.1497208
386.6441631,470.8666551,403.871975
387.2463507,470.1897034,404.5978415
387.8578036,469.5043125,405.3268042
388.4769776,468.8118891,406.0583471
389.1023284,468.1138396,406.7919542
389.7323119,467.4115706,407.5271094
390.3653839,466.7064886,408.2632967
391,466,409
