NNP1,SolNET,LunitaNET,AceradaNET,SolAM,LunitaAM,AceradaAM,SolPM,LunitaPM,AceradaPM
1,9,10.2,7.2,5,6,4.8,4,4.2,2.4
2,7.6,4.8,14.1,6,0,6.2,1.6,4.8,7.9
3,8,6.8,12.5,6,6.8,5,2,0,7.5
4,7,5.4,15.5,5,5.4,7,2,0,8.5
5,4.6,8,9.2,2,8,5.2,2.6,0,4
6,10.2,0,15.8,7.2,0,5.8,3,0,10
7,9,7,10.4,7,5,5.8,2,2,4.6
8,9.8,9.8,10,7.6,6.8,0,2.2,3,10
9,13.8,7,17,10.6,7,6,3.2,0,11
10,9.2,9,12.8,6,6,3.8,3.2,3,9
11,11.2,4,5,7.2,0,1,4,4,4
12,9,11,16,6,7,5,3,4,11
13,9.8,5.6,13.8,5.8,2,6.4,4,3.6,7.4
14,9.7,6,16.2,7.4,1,6,2.3,5,10.2
15,10.4,11.6,17,7.4,7,6,3,4.6,11
16,12,12.6,4,8,9,2,4,3.6,2
17,10,13,16,7,9,6,3,4,10
18,9,11,16,6,8,5,3,3,11
19,11.4,10.8,16,9,9.8,7,2.4,1,9
20,11,13,17.6,6,9,6.6,5,4,11
21,10,12.7,6.7,8,8.2,5.6,2,4.5,1.1
22,11.2,14.4,16.6,7.2,8.4,6.4,4,6,10.2
23,11.2,14.4,16.2,6.8,9,7,4.4,5.4,9.2
24,11,13.8,13,6,9,3,5,4.8,10
25,9.2,11.3,15.4,7,7.8,6,2.2,3.5,9.4
26,13,8.6,15,8,5.4,4,5,3.2,11
27,12.4,11,16,8,8,5,4.4,3,11
28,12.6,11,16.6,8.4,7,6,4.2,4,10.6
29,12.2,12,16.4,8.4,8,6,3.8,4,10.4
30,10.4,10.6,16.4,7.2,7.4,5.4,3.2,3.2,11
31,9.8,12,14,6.8,9,5,3,3,9
32,11.8,13.2,12,8,8.2,4,3.8,5,8
33,7,11.8,17,5,8.2,6,2,3.6,11
34,9,12,11.6,6.2,9,4.4,2.8,3,7.2
35,12.2,13.4,9.6,8,9.4,6,4.2,4,3.6
36,13,13,18.2,9,9,8.2,4,4,10
37,14,14,14.2,9,9,3.2,5,5,11
38,15,13,11,10,8,5,5,5,6
39,11.8,14,14.1,4.8,10,4.1,7,4,10
40,12.8,13.8,13.3,9.8,9,5,3,4.8,8.3
41,13.4,11.6,16,8.4,8,6.6,5,3.6,9.4
42,11.2,11.8,16,7.2,8,6,4,3.8,10
43,10.4,11.2,15,7,7.2,4,3.4,4,11
44,12,13,15.2,7,8,5,5,5,10.2
45,10.6,13,14.2,6.6,9,5.2,4,4,9
46,10,12,15.6,6,8,5,4,4,10.6
47,8,11.1,14.6,6,8.8,4.8,2,2.3,9.8
48,9,12,14,6,8,5,3,4,9
49,8.8,12.2,15,6,8,6,2.8,4.2,9
50,9.2,11.8,17.4,6,8,7,3.2,3.8,10.4
51,9.8,12,14.6,6,8,4.2,3.8,4,10.4
52,9.4,12,14.4,6.2,8,4.6,3.2,4,9.8
53,12,11.8,15,7,7.8,5,5,4,10
54,9,10.4,16,6,6.4,5,3,4,11
55,8.4,11.6,14.4,5.4,8,5,3,3.6,9.4
56,9.8,12,11.8,6,8,3.4,3.8,4,8.4
57,10.6,10.4,15,6,7.4,5,4.6,3,10
58,9.8,11,11.8,6,7,3.4,3.8,4,8.4
59,9,12,12.2,6,8,4.2,3,4,8
60,8,12,13.4,6,7.2,4.4,2,4.8,9
61,9.4,9.4,15.8,4,6.4,6.8,5.4,3,9
62,9.4,8.5,17.4,6,5.5,7.4,3.4,3,10
63,9.2,10.8,13.6,6.2,7.4,4,3,3.4,9.6
64,9.4,10,14.3,5,7,4.3,4.4,3,10
65,9,7.6,14.2,5,5,4,4,2.6,10.2
66,6,9.6,13,4,6,5,2,3.6,8
67,8.6,9.2,14.6,5.6,6,5.6,3,3.2,9
68,7,11.8,15,4,4.8,5,3,7,10
69,9.4,5.4,12,5,3.4,5,4.4,2,7
70,6.8,9.6,13,4.8,6.4,4,2,3.2,9
71,7.7,7.4,13.8,5,4.4,5.4,2.7,3,8.4
72,9,8,13,4,4.8,3,5,3.2,10
73,9,8.2,13,6,6.2,5,3,2,8
74,8.2,10,10.8,5,7,3.8,3.2,3,7
75,7,8.4,8.4,5,4.4,2,2,4,6.4
76,8.2,8,11.8,6,5,3.8,2.2,3,8
77,8,10.4,11,6,8,4,2,2.4,7
78,7,9.8,13.4,4,7,4,3,2.8,9.4
79,8,10,11.6,4,7,3.2,4,3,8.4
80,6,9.6,11,4,6.6,3,2,3,8
81,9.2,10.3,12,5.4,7,4,3.8,3.3,8
82,8,11,12.2,6,8,4,2,3,8.2
83,9.8,10,14,7,6.2,4.2,2.8,3.8,9.8
84,10.4,10.2,14.4,6,7,4.4,4.4,3.2,10
85,6,10,14.6,4,7,4.6,2,3,10
86,10,11,14.4,6,7,4.8,4,4,9.6
87,8.6,4,14,6.6,4,4,2,0,10
88,9.4,11,12.8,7,8,4.6,2.4,3,8.2
89,9.4,10.4,13,6.4,7.4,4,3,3,9
90,9,10,14,7,7,4.2,2,3,9.8
91,8,10,15,6,6.8,5,2,3.2,10
92,8.2,9,13.2,5.6,6,4,2.6,3,9.2
93,9.2,8.8,13.4,6,6,4,3.2,2.8,9.4
94,9,9.4,10.8,6.6,7.4,2.8,2.4,2,8
95,9,8,12,6,6,3,3,2,9
96,8,6,12.8,6,4,3.8,2,2,9
97,9,10.8,12.8,7,6.8,3.8,2,4,9
98,7,11,14,5,7,5,2,4,9
99,7.6,11,13.8,4.6,7,3.6,3,4,10.2
100,8.8,10.2,14.6,6,7,5.2,2.8,3.2,9.4
101,9.2,13,13.2,4,9,4.2,5.2,4,9
102,7.6,10,11.8,5,7,4.8,2.6,3,7
103,7.4,2.5,14.6,4.4,0,4.6,3,2.5,10
104,6,14.6,15,4,6.6,4.8,2,8,10.2
105,6.4,12,13.4,4.4,8,4.6,2,4,8.8
106,9.4,10,13.4,6.4,7,4,3,3,9.4
107,9.4,10.2,15,6.4,6,5.2,3,4.2,9.8
108,9.4,11,13,4.4,7,3,5,4,10
109,8.6,0,14.8,6,0,4.8,2.6,0,10
110,8.8,9,14.8,6,7,4.8,2.8,2,10
111,8,9,15,6,6,5,2,3,10
112,10,9.4,15.4,7,5.4,5.2,3,4,10.2
113,8.2,9.6,13.6,5.2,6,5.6,3,3.6,8
114,11,8.6,15,7,5.6,5.4,4,3,9.6
115,9,8,12.6,6,6,4.8,3,2,7.8
116,10.8,6.2,13,7,4,4,3.8,2.2,9
117,9,9.4,13.6,4,6.4,4.6,5,3,9
118,0,7.6,13.8,0,4.6,4.8,0,3,9
119,8.6,7.4,12.6,6.2,5.4,4.2,2.4,2,8.4
120,8,9.4,11.4,4,6.4,4,4,3,7.4
121,9,8.8,14.6,6,4.8,5.8,3,4,8.8
122,9,9.2,13.8,6,6.2,5,3,3,8.8
123,6,12,12,4,7,4,2,5,8
124,10.4,9,12.8,9.4,8,4.4,1,1,8.4
125,7,8,12.2,6,6,3.8,1,2,8.4
126,12,10.4,12.2,8,7,4.2,4,3.4,8
127,10,10,13.8,7.2,7,4.6,2.8,3,9.2
128,9,8,11.2,6,5,4.2,3,3,7
129,11.6,7,12.6,7.6,7,4,4,0,8.6
130,9.4,9,13.4,5.4,7,4.4,4,2,9
131,9,9,12.6,6,6,4.8,3,3,7.8
132,9.6,9.2,14.4,6.8,5.2,5.4,2.8,4,9
133,10,9,12.4,7,6,4,3,3,8.4
134,8.8,9,12.2,4,6,4.2,4.8,3,8
135,6,10.4,13,4,8.4,5,2,2,8
136,6.8,9.6,13.2,3,6.6,4.2,3.8,3,9
137,8,9.6,12,4,6,4,4,3.6,8
138,5,9,14,5,6,5,0,3,9
139,14.4,8,13.2,6.4,4,4.2,8,4,9
140,12,9.4,14.2,7,7.4,4.2,5,2,10
141,9.6,10.6,12,5.6,6.6,3,4,4,9
142,10,10,12.6,6.4,6,3.6,3.6,4,9
143,9,10,6.9,6,6,4.8,3,4,2.1
144,10.4,12,13,7.4,6,5,3,6,8
145,10,10.2,11.8,6.6,7,4.8,3.4,3.2,7
146,8.8,13.6,14.3,6.6,4.6,5,2.2,9,9.3
147,8.6,7.5,16.6,6,7.5,4.6,2.6,0,12
148,10.6,6.2,13.6,7,6.2,4.6,3.6,0,9
149,9.2,6,13,7.6,6,4,1.6,0,9
150,8.6,10.8,12.3,6.6,7,4,2,3.8,8.3
151,8.4,9.8,11.6,5,6.8,4.6,3.4,3,7
152,9.8,9,13.2,6,6,5.2,3.8,3,8
153,10,10,14.4,6,6.6,5.2,4,3.4,9.2
154,9,10,14.2,7,6.4,4.2,2,3.6,10
155,9.7,8.2,12.6,7.3,6.2,4,2.4,2,8.6
156,8.5,9,12.2,5.5,6,3.4,3,3,8.8
157,9.2,8.4,11.9,4.8,6,3.9,4.4,2.4,8
158,9.4,9,12.6,5.4,6,3.6,4,3,9
159,9.8,8.4,12,6.4,6,3,3.4,2.4,9
160,9,8,11.4,6.6,5,2.4,2.4,3,9
161,11,8,8.6,8.4,5,2.6,2.6,3,6
162,8.2,8.4,12.4,5.2,6,3.2,3,2.4,9.2
163,9.4,8,14,6.4,5.4,6,3,2.6,8
164,8,8.4,15,6,5.6,6,2,2.8,9
165,10,8.8,13.5,8,6.8,6.5,2,2,7
166,10.2,10,13,7,7,5,3.2,3,8
167,8.4,8.8,11.2,6,5.8,4,2.4,3,7.2
168,8,9,13.2,4,6,6,4,3,7.2
169,8,9,9,5.2,6,5,2.8,3,4
170,7,9.4,14.1,5,6.4,7.5,2,3,6.6
171,8,8.8,13.8,6,6,6.2,2,2.8,7.6
172,9,9.7,11.6,6,7,4.4,3,2.7,7.2
173,9.8,10.2,12.2,6.8,7,5.6,3,3.2,6.6
174,9.8,10.4,13,6,6.4,5,3.8,4,8
175,11,9,11.1,7,6,4.6,4,3,6.5
176,5.4,9,11.85,2.6,6,4.85,2.8,3,7
177,8.2,10,12,5.4,7,6,2.8,3,6
178,7.8,9.4,12.2,5.8,6.4,4.8,2,3,7.4
179,7,10,11.6,5,6,4.2,2,4,7.4
180,13.8,10.2,11.6,5.8,7,3,8,3.2,8.6
181,9,10.6,10.4,6,6.8,3.2,3,3.8,7.2
182,9.4,9.6,10.4,6.4,6.4,4,3,3.2,6.4
183,9.8,7.2,10,6,4,3.8,3.8,3.2,6.2
184,8.8,9,12,5.2,5,4.4,3.6,4,7.6
185,9,9.4,9.6,6,5.6,3.8,3,3.8,5.8
186,9.4,9.8,12,6.4,7,5,3,2.8,7
187,8.5,10.6,10.4,6,7.2,3.4,2.5,3.4,7
188,9.4,6.4,10.6,6.4,2.4,3.4,3,4,7.2
189,8.2,9.4,9.6,6,6,2.6,2.2,3.4,7
190,8,10.8,8.8,5.6,7.4,2.8,2.4,3.4,6
191,8.6,11,10.4,5.6,7.6,4,3,3.4,6.4
192,10.4,7.8,11.8,7.4,5,4.6,3,2.8,7.2
193,8,9.2,10.8,4.8,6,3.6,3.2,3.2,7.2
194,8,8.4,12.1,4,5,4.7,4,3.4,7.4
195,8.6,8,11.8,6,6,4.2,2.6,2,7.6
196,9.4,9,11.8,7,6,4.4,2.4,3,7.4
197,11,8.6,12,6,5.8,4,5,2.8,8
198,9.4,7,13,5.6,5,6,3.8,2,7
199,7.6,9,12.6,4,6,4.6,3.6,3,8
200,10.4,6.8,12.4,6.6,3.8,4.6,3.8,3,7.8
201,6.2,11,12.2,4.2,8,4.8,2,3,7.4
202,8,7.6,10.8,4,5.4,4,4,2.2,6.8
203,9.4,9.2,11.8,5.6,6,4.2,3.8,3.2,7.6
204,7.8,10,12.2,5,7,3.8,2.8,3,8.4
205,9.8,9,11.8,5.8,6,3.6,4,3,8.2
206,8.6,8.8,13,5.4,5.8,4.2,3.2,3,8.8
207,8.4,10,14.4,5.4,7,5.8,3,3,8.6
208,8.4,9.6,12.8,6,6.8,5.2,2.4,2.8,7.6
209,7.6,10.8,12,5.6,8,4.2,2,2.8,7.8
210,10,7.6,12.4,7,5,5.4,3,2.6,7
211,8.4,10.8,10.4,5.4,8,2.4,3,2.8,8
212,9.2,8.4,11.6,6,6,4,3.2,2.4,7.6
213,8.6,8.3,11,5,5,4.2,3.6,3.3,6.8
214,9,7,9.8,6,5,2.4,3,2,7.4
215,8,15,10.6,5,8,4,3,7,6.6
216,10.2,6.2,10,6.4,3.2,2.8,3.8,3,7.2
217,9.2,4.4,12.4,6.2,3.4,4,3,1,8.4
218,9.8,8,13.4,6,6,6.2,3.8,2,7.2
219,8.4,9.2,12,5.4,6.2,4.2,3,3,7.8
220,8.2,8.6,12.8,3.4,6.2,5.8,4.8,2.4,7
221,6,9.4,8.4,4,6.4,3.4,2,3,5
222,6.2,8,8,5,6,3,1.2,2,5
223,3,9,10.4,2,6,3,1,3,7.4
224,7,10,11.2,4,6.6,4,3,3.4,7.2
225,7,12,10,5,8,3,2,4,7
226,8,10,13.4,5,7.4,6.4,3,2.6,7
227,11.3,9.5,11.4,6.1,6.8,3.4,5.2,2.7,8
228,8.6,9.8,11.2,6.2,6.6,4.2,2.4,3.2,7
229,9,10,12,6,7,4,3,3,8
230,7.6,9.4,11,4.6,6.2,4,3,3.2,7
231,8.4,8.9,11,4,6.3,4,4.4,2.6,7
232,8,10,12,5,6,3,3,4,9
233,9.5,9.6,10.4,5.9,6.2,3.4,3.6,3.4,7
234,9,11.7,10,5.4,6.7,3,3.6,5,7
235,14.2,8.4,10.2,10.8,6.2,3,3.4,2.2,7.2
236,7.5,9.8,11.8,4,7,4,3.5,2.8,7.8
237,8.8,12,10.4,6.4,7,3.4,2.4,5,7
238,9,10.3,10,7,5.1,3.6,2,5.2,6.4
239,9.8,9,11.2,6.8,6,4.2,3,3,7
240,6.2,9.2,10.2,4.8,6.2,4.2,1.4,3,6
241,8.8,9,10,5.8,6.4,3,3,2.6,7
242,9.6,9.6,11,6,6.2,3.6,3.6,3.4,7.4
243,9.4,9.8,11.4,6.2,6.8,4.2,3.2,3,7.2
244,8.1,9.4,13,5.8,5.4,5,2.3,4,8
245,8.4,9.8,11,6,5.8,3.8,2.4,4,7.2
246,8.4,10,12.6,3.4,6,5,5,4,7.6
247,5.4,10,9.4,3.4,5.8,3.2,2,4.2,6.2
248,7.8,11.4,12.4,5.8,8.2,3.4,2,3.2,9
249,7.6,8.6,11,5.4,5.6,4,2.2,3,7
250,8.6,6,12,6.4,4,4,2.2,2,8
251,8.8,7.8,9,6.2,5.8,3,2.6,2,6
252,8.2,7.2,10,6.2,5.2,4,2,2,6
253,7,7.4,12,5.2,5.2,4,1.8,2.2,8
254,8,6.4,11.6,6,4.2,4.6,2,2.2,7
255,9,7.6,11.4,5,5.2,4,4,2.4,7.4
256,7.6,8.2,11.6,5.6,6,3.6,2,2.2,8
257,7.8,7,9,5.4,5,4,2.4,2,5
258,5.7,7.6,8,4.2,4.6,3,1.5,3,5
259,7,8.4,8,5,5.4,3,2,3,5
260,6,7,10.4,4,5,3.4,2,2,7
261,7.2,9,11,5.2,5,4,2,4,7
262,9.2,7,11,7,5,3,2.2,2,8
263,6.6,9,11.5,4,6,4,2.6,3,7.5
264,7.2,8.8,12.5,5,6,4.5,2.2,2.8,8
265,8,7.6,11.4,6,6.4,3.4,2,1.2,8
266,7,5.2,9,4,3.2,4,3,2,5
267,7,8.4,9.6,4,6.4,5.6,3,2,4
268,8,9.8,8,3,6.8,3,5,3,5
269,6.6,10.6,7,4.6,7,3,2,3.6,4
270,8,10.4,8.4,5.2,6.4,3,2.8,4,5.4
271,7.2,9.6,10,5.4,5.6,2.6,1.8,4,7.4
272,7.2,9.8,8.8,5.2,6.2,3.2,2,3.6,5.6
273,6,9.4,9.2,4,6,4,2,3.4,5.2
274,7.2,10.2,9,4,6.8,3.2,3.2,3.4,5.8
275,6.7,9.8,10.6,4.2,6.4,4.6,2.5,3.4,6
276,5.6,9.6,8.4,2.4,6.8,2.8,3.2,2.8,5.6
277,8,9.2,7.8,5,6.2,3,3,3,4.8
278,9,6.4,5,6,4.2,2.6,3,2.2,2.4
279,7.8,8.8,9.2,5.6,5,2.8,2.2,3.8,6.4
280,8.4,7,7.6,5,4.4,2,3.4,2.6,5.6
281,4.5,5.2,8.8,1.5,2.8,3.2,3,2.4,5.6
282,5.8,7.3,8.6,3,4.8,3,2.8,2.5,5.6
283,3,7,8.4,1,4.6,3.2,2,2.4,5.2
284,4,6.6,8.2,2,4.6,2.6,2,2,5.6
285,4.2,6.8,6.6,1.8,4.8,2.6,2.4,2,4
286,7.2,6.8,7.8,4,4.8,2.8,3.2,2,5
287,2.6,6,10.6,1,4,5.6,1.6,2,5
288,4.8,6.4,7.05,2.4,4.4,2.4,2.4,2,4.65
289,4.1,6.2,4,1.1,4,0,3,2.2,4
290,3,5.8,2.6,1,3.8,2.6,2,2,0
291,4.5,6,5.6,1.5,4,4.6,3,2,1
292,4,5.4,4.4,1,3.2,2.8,3,2.2,1.6
293,4,6.4,5.6,2,4,4,2,2.4,1.6
294,3.5,6.1,6,1.5,4.1,4,2,2,2
295,2.9,5,6.1,0.5,4,4.3,2.4,1,1.8
296,0,0,0,0,0,0,0,0,0
297,0,0,0,0,0,0,0,0,0
298,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0
